Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
0,MOLLUSCA,Mollusca,0,8,4.51,1,NO_ANNOT,,,Exact,0,Mollusca,Mollusca,M2L,1,Catalogue of Life,
144,Ashmunella pseudodonta,Ashmunella pseudodonta,42080,42102,13.16,2,NO_ANNOT,,,Exact,0,"Ashmunella pseudodonta (Dall, 1897)",Ashmunella pseudodonta,7Q8GM,1,Catalogue of Life,
145,Ashnmnella pseudodonta,Ashnmnella pseudodonta,42182,42204,6.85,2,NO_ANNOT,,,NoMatch,,,,,,,,
146,A. pseudodonta,A. pseudodonta,42575,42589,6.45,2,NO_ANNOT,,,NoMatch,,,,,,,,
147,A. rhyssa,A. rhyssa,42625,42634,5.44,2,NO_ANNOT,,,NoMatch,,,,,,,,
148,A. thomsoniana.,A. thomsoniana,42643,42658,7.18,2,NO_ANNOT,,,NoMatch,,,,,,,,
149,Ashmunella pseudodonta capitanensis,Ashmunella pseudodonta capitanensis,42959,42994,19.35,3,NO_ANNOT,,,Exact,0,"Ashmunella pseudodonta capitanensis Ashmun & Cockerell in Cockerell, 1899",Ashmunella pseudodonta capitanensis,7TQNR,1,Catalogue of Life,
150,A. chiricahuana.,A. chiricahuana,44177,44193,7.08,2,NO_ANNOT,,,NoMatch,,,,,,,,
151,Ashmunella ashmuni,Ashmunella ashmuni,44285,44303,11.82,2,NO_ANNOT,,,Exact,0,"Ashmunella ashmuni (Dall, 1897)",Ashmunella ashmuni,7Q8F6,1,Catalogue of Life,
152,Pohjgyra ashmuni,Pohjgyra ashmuni,44331,44347,3.91,2,NO_ANNOT,,,NoMatch,,,,,,,,
153,Ashmunella,Ashmunella,44392,44402,6.37,1,NO_ANNOT,,,Exact,0,"Ashmunella Pilsbry & Cockerell, 1899",Ashmunella,7NPTV,1,Catalogue of Life,
154,A. pseudodonta,A. pseudodonta,44594,44608,6.45,2,NO_ANNOT,,,NoMatch,,,,,,,,
