Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
125,Crustacea,Crustacea,38076,38085,4.98,1,NO_ANNOT,,,Exact,0,"Crustacea Brünnich, 1772",Crustacea,83677,3,ITIS,
126,Idotea pulchra,Idotea pulchra,38137,38151,9.87,2,NO_ANNOT,,,Exact,0,"Idotea pulchra Lockington, 1877",Idotea pulchra,6N5DT,1,Catalogue of Life,
127,Edotia bicuspida,Edotia bicuspida,38204,38220,11.59,2,NO_ANNOT,,,Exact,0,Edotia bicuspida (Owen),Edotia bicuspida,gn_64250,186,MCZbase,
128,Synidotea bicuspida,Synidotea bicuspida,38295,38314,12.15,2,NO_ANNOT,,,Exact,0,"Synidotea bicuspida (Owen, 1839)",Synidotea bicuspida,53X99,1,Catalogue of Life,
129,"Crustacea,",Crustacea,38321,38331,4.98,1,NO_ANNOT,,,Exact,0,"Crustacea Brünnich, 1772",Crustacea,83677,3,ITIS,
130,Synidotea incisa,Synidotea incisa,38408,38424,10.30,2,NO_ANNOT,,,Exact,0,"Synidotea incisa G. O. Sars, 1879",Synidotea incisa,53X9W,1,Catalogue of Life,
131,Crustacea,Crustacea,38431,38440,4.98,1,NO_ANNOT,,,Exact,0,"Crustacea Brünnich, 1772",Crustacea,83677,3,ITIS,
132,Pycnogonida,Pycnogonida,38444,38455,2.66,1,NO_ANNOT,,,Exact,0,Pycnogonida,Pycnogonida,H8,1,Catalogue of Life,
133,Synidotea bicuspida,Synidotea bicuspida,38494,38513,12.15,2,NO_ANNOT,,,Exact,0,"Synidotea bicuspida (Owen, 1839)",Synidotea bicuspida,53X99,1,Catalogue of Life,
134,S. marmorata,S. marmorata,38771,38783,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
135,S. consolidata,S. consolidata,38827,38841,7.99,2,NO_ANNOT,,,NoMatch,,,,,,,,
136,Synidotea marmorata,Synidotea marmorata,39073,39092,13.03,2,NO_ANNOT,,,Exact,0,"Synidotea marmorata (Packard, 1867)",Synidotea marmorata,7B9XN,1,Catalogue of Life,
137,Idotsea marmorata,Idotsea marmorata,39112,39129,5.94,2,NO_ANNOT,,,Fuzzy,1,"Idotea marmorata Packard, 1867",Idotea marmorata,6N5CM,1,Catalogue of Life,
138,Idotea,Idotea,39255,39261,4.42,1,NO_ANNOT,,,Exact,0,"Idotea Fabricius, 1798",Idotea,7P6ZD,1,Catalogue of Life,
139,I. bicuspida,I. bicuspida,39280,39292,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
140,IdotJiea rugulosa,Idotjiea rugulosa,39361,39378,5.29,2,NO_ANNOT,,,NoMatch,,,,,,,,
141,Synidotea,Synidotea,39436,39445,5.13,1,NO_ANNOT,,,Exact,0,"Synidotea Harger, 1878",Synidotea,7Q3GP,1,Catalogue of Life,
142,Edotia bicuspida,Edotia bicuspida,39574,39590,11.59,2,NO_ANNOT,,,Exact,0,Edotia bicuspida (Owen),Edotia bicuspida,gn_64250,186,MCZbase,
143,S. bicuspida,S. bicuspida,40096,40108,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
144,Synidotea marmorata,Synidotea marmorata,40363,40382,13.03,2,NO_ANNOT,,,Exact,0,"Synidotea marmorata (Packard, 1867)",Synidotea marmorata,7B9XN,1,Catalogue of Life,
145,S. marmorata,S. marmorata,40494,40506,7.57,2,NO_ANNOT,,,NoMatch,,,,,,,,
146,S. bicuspida,S. bicuspida,40560,40572,6.69,2,NO_ANNOT,,,NoMatch,,,,,,,,
147,Synidotea consolidata,Synidotea consolidata,40636,40657,13.45,2,NO_ANNOT,,,Exact,0,"Synidotea consolidata (Stimpson, 1856)",Synidotea consolidata,53X9G,1,Catalogue of Life,
148,Idotea consolidata,Idotea consolidata,40678,40696,12.74,2,NO_ANNOT,,,Exact,0,"Idotea consolidata Stimpson, 1856",Idotea consolidata,6N5CX,1,Catalogue of Life,
149,Edotia bicuspida,Edotia bicuspida,40798,40814,11.59,2,NO_ANNOT,,,Exact,0,Edotia bicuspida (Owen),Edotia bicuspida,gn_64250,186,MCZbase,
